Tx,Ty,Tz,Roll,Pitch,Yaw,L0,L1,L2,L3
1768585025.1977012,-4.5,3.0,-5.5,0,0,0,4.1850717140660985,4.188902019711707,4.20955483670432,4.205334743863106
1768585025.2097719,-4.5,3.0,-5.5,0,0,0,4.1850717140660985,4.188902019711707,4.209622116013985,4.205267273965889
1768585026.125911,-4.5,1.5,-5.5,0,0,0,4.184109645352423,4.188633438499309,4.209714664424599,4.206057947119083
1768585026.1380947,-4.5,1.5,-5.5,0,0,0,4.18408693708492,4.188700508477668,4.209714664424599,4.206057947119083
1768585026.1495697,-4.5,1.5,-5.5,0,0,0,4.18408693708492,4.188633438499309,4.209714664424599,4.206057947119083
1768585026.1605318,-4.5,1.5,-5.5,0,0,0,4.184109645352423,4.188633438499309,4.20978194756599,4.206057947119083
1768585026.1714206,-4.5,1.5,-5.5,0,0,0,4.1841538978920365,4.188700508477668,4.209714664424599,4.206057947119083
1768585026.1826763,-4.5,1.5,-5.5,0,0,0,4.18408693708492,4.188633438499309,4.209757267099726,4.2059661061020766
1768585027.0691774,-4.5,0.0,-5.5,0,0,0,4.183125207904118,4.188408620018017,4.209984688181458,4.206824482116078
1768585027.0842643,-4.5,0.0,-5.5,0,0,0,4.183057980766157,4.188408620018017,4.209984688181458,4.206824482116078
1768585027.0962644,-4.5,0.0,-5.5,0,0,0,4.183125207904118,4.188408620018017,4.209984688181458,4.2068919894930135
1768585027.1083267,-4.5,0.0,-5.5,0,0,0,4.183057980766157,4.188431946645269,4.209984688181458,4.2068919894930135
1768585027.120352,-4.5,0.0,-5.5,0,0,0,4.183057980766157,4.188408620018017,4.209984688181458,4.2068919894930135
1768585027.1318574,-4.5,0.0,-5.5,0,0,0,4.183057980766157,4.188475976185249,4.20991710634902,4.206824482116078
1768585027.9151301,-4.5,-1.5,-5.5,0,0,0,4.182163519341446,4.188207144385713,4.210119562876709,4.207861046152292
1768585027.92838,-4.5,-1.5,-5.5,0,0,0,4.1822080319446036,4.188207144385713,4.210119562876709,4.20781817864762
1768585027.9401739,-4.5,-1.5,-5.5,0,0,0,4.182141117842659,4.188140086256666,4.210187149584277,4.207885709945001
1768585027.95185,-4.5,-1.5,-5.5,0,0,0,4.182141117842659,4.188140086256666,4.210187149584277,4.207861046152292
1768585027.963524,-4.5,-1.5,-5.5,0,0,0,4.182141117842659,4.188207144385713,4.210187149584277,4.207861046152292
1768585027.9751987,-4.5,-1.5,-5.5,0,0,0,4.182141117842659,4.188207144385713,4.210187149584277,4.20781817864762
1768585028.8042507,-4.5,-3.0,-5.5,0,0,0,4.181447924064696,4.188005683290479,4.210279422760523,4.208720002355462
1768585028.8192296,-4.5,-3.0,-5.5,0,0,0,4.1814706108515125,4.188005683290479,4.2103220340090655,4.207456179887109
1768585028.8306959,-4.5,-3.0,-5.5,0,0,0,4.181515112392707,4.188005683290479,4.210347013317585,4.208720002355462
1768585028.84257,-4.5,-3.0,-5.5,0,0,0,4.181447924064696,4.187938629999797,4.210347013317585,4.208720002355462
1768585028.854848,-4.5,-3.0,-5.5,0,0,0,4.181447924064696,4.188005683290479,4.210389625592238,4.208720002355462
1768585028.86653,-4.5,-3.0,-5.5,0,0,0,4.181447924064696,4.188005683290479,4.210347013317585,4.208720002355462
1768585029.794401,-4.5,-4.5,-5.5,0,0,0,4.181179768599777,4.187871578319471,4.21048190542499,4.2093521271382786
1768585029.806667,-4.5,-4.5,-5.5,0,0,0,4.1811128791740835,4.187938629999797,4.210549500858024,4.2093521271382786
1768585029.8184786,-4.5,-4.5,-5.5,0,0,0,4.181179768599777,4.187871578319471,4.21048190542499,4.2094196953666945
1768585029.830222,-4.5,-4.5,-5.5,0,0,0,4.181179768599777,4.187871578319471,4.21048190542499,4.2094196953666945
1768585029.8416333,-4.5,-4.5,-5.5,0,0,0,4.181179768599777,4.187938629999797,4.21048190542499,4.2094196953666945
1768585029.8536065,-4.5,-4.5,-5.5,0,0,0,4.1811128791740835,4.187871578319471,4.210549500858024,4.2093521271382786
1768585030.6749823,-4.5,-6.0,-5.5,0,0,0,4.1812469504647005,4.186617134266675,4.2106170979188455,4.209849526143881
1768585030.6881554,-4.5,-6.0,-5.5,0,0,0,4.1812469504647005,4.187938629999797,4.2106170979188455,4.20991710634902
1768585030.69991,-4.5,-6.0,-5.5,0,0,0,4.1812469504647005,4.187938629999797,4.2106170979188455,4.20991710634902
1768585030.7114406,-4.5,-6.0,-5.5,0,0,0,4.18131384310774,4.187871578319471,4.2106170979188455,4.20991710634902
1768585030.7227457,-4.5,-6.0,-5.5,0,0,0,4.1812469504647005,4.187938629999797,4.2106170979188455,4.209849526143881
1768585030.7339427,-4.5,-6.0,-5.5,0,0,0,4.18131384310774,4.186684155821932,4.2106170979188455,4.209849526143881
1768585031.5332787,-3.0,-6.0,-5.5,0,0,0,4.181872895694465,4.187153934675623,4.210549500858024,4.20991710634902
1768585031.5457869,-3.0,-6.0,-5.5,0,0,0,4.181872895694465,4.187176959368979,4.21048190542499,4.209984688181458
1768585031.5568042,-3.0,-6.0,-5.5,0,0,0,4.181872895694465,4.187086901839575,4.21048190542499,4.209984688181458
1768585031.5686743,-3.0,-6.0,-5.5,0,0,0,4.181872895694465,4.187153934675623,4.21048190542499,4.209984688181458
1768585031.5800369,-3.0,-6.0,-5.5,0,0,0,4.181872895694465,4.187109925980026,4.21048190542499,4.20991710634902
1768585031.5917282,-3.0,-6.0,-5.5,0,0,0,4.181805698743047,4.187153934675623,4.210524519747497,4.20991710634902
1768585032.3733897,-3.0,-4.5,-5.5,0,0,0,4.18173879429665,4.187153934675623,4.2103220340090655,4.20955483670432
1768585032.3849063,-3.0,-4.5,-5.5,0,0,0,4.18173879429665,4.187153934675623,4.210347013317585,4.209487265222024
1768585032.397288,-3.0,-4.5,-5.5,0,0,0,4.18173879429665,4.187153934675623,4.2103220340090655,4.20822309716567
1768585032.4088423,-3.0,-4.5,-5.5,0,0,0,4.18173879429665,4.187176959368979,4.210347013317585,4.20955483670432
1768585032.4205997,-3.0,-4.5,-5.5,0,0,0,4.18173879429665,4.187153934675623,4.210347013317585,4.20955483670432
