timestamp,L0,L1,L2,L3,dX,dY,dZ
148881516,2.345068,2.643627,2.185326,1.923520,0.656063,-1.477854,-0.398644
148896038,2.326806,2.645222,2.216715,1.918887,0.508136,-1.967145,-0.368208
148910913,2.293536,2.646361,2.254984,1.919467,0.497076,-2.913745,-0.313452
148924238,2.259758,2.647160,2.284117,1.911765,0.602871,-3.810320,-0.281549
148939016,2.233026,2.648758,2.324701,1.916965,1.392203,-4.096544,-0.204341
148951865,2.225437,2.651504,2.361405,1.924102,2.063814,-3.989157,-0.150869
148966216,2.233385,2.654707,2.411524,1.950875,2.856429,-3.480953,-0.112196
148979215,2.214448,2.656664,2.444285,1.949698,3.177731,-3.246462,-0.106004
149056211,1.972041,2.634534,2.591408,1.971446,3.906481,-3.425566,-0.172432
149070089,1.949698,2.624684,2.602951,1.974424,3.921370,-3.500905,-0.157027
149096311,1.924683,2.611904,2.603449,1.964783,3.956800,-3.781724,-0.102360
149109338,1.919467,2.599808,2.601094,1.964783,3.820978,-3.670120,-0.109425
149229701,1.897268,2.333072,2.501766,1.998108,1.433774,-2.910048,-0.190580
149241962,1.899561,2.307376,2.475316,2.001130,1.147632,-3.004773,-0.134624
149323361,1.921204,2.152714,2.232711,2.007180,1.072286,-2.023335,0.081379
149335486,1.927010,2.129607,2.186646,2.008997,1.188027,-1.896197,0.056331
149350450,1.937159,2.107522,2.128320,2.008392,1.272961,-1.767581,-0.023568
149426410,2.009889,2.105853,1.992207,2.002339,1.088257,-2.017219,-0.325731
149443134,2.010496,2.106488,1.992807,2.002339,1.084878,-2.013927,-0.325351
149547283,2.502690,2.568551,1.935403,1.964783,-1.073258,-3.358929,-0.321530
149559883,2.518030,2.587228,1.960996,1.975616,-0.959694,-3.239174,-0.453202
149575508,2.528708,2.607176,1.988603,1.982604,-0.900626,-2.989362,-0.581508
149650232,2.461651,2.650357,2.144922,1.939503,2.480178,-0.874411,-0.480388
149663257,2.442171,2.653906,2.186646,1.937159,3.007766,-0.533749,-0.383251
149676204,2.417499,2.654707,2.224094,1.937159,2.955057,-0.535238,-0.310105
149749106,2.397555,2.665056,2.410004,1.964783,2.905851,-2.461157,-0.154532
149768178,2.380805,2.666666,2.447976,1.964783,2.658298,-3.295500,-0.152216
149780227,2.340128,2.665861,2.462394,1.942434,2.487505,-3.890479,-0.147576
149872002,2.005364,2.631825,2.644425,2.026907,3.722403,-1.558145,-0.347490
149885879,1.988003,2.622474,2.643627,2.026295,3.588639,-1.676788,-0.329949
149915329,1.967155,2.579163,2.637716,2.026907,2.871100,-1.288129,-0.360591
149994228,1.950287,2.387313,2.613481,2.078426,1.505051,-2.696409,-0.478933
150007778,1.952132,2.342247,2.615059,2.103313,1.601845,-2.711446,-0.455401
150024424,1.925846,2.264537,2.614572,2.118305,1.855548,-2.721309,-0.421658
150037727,1.911765,2.203922,2.612992,2.132183,2.083392,-2.298689,-0.396982
150050777,1.904725,2.165649,2.607670,2.148816,2.243759,-1.792086,-0.369367
150064049,1.901281,2.132828,2.600309,2.154664,2.298254,-1.252166,-0.343174
150077527,1.902429,2.106886,2.589843,2.162378,2.318625,-0.860800,-0.318490
150091502,1.901281,2.077798,2.577605,2.162378,2.314167,-0.439693,-0.291181
150105651,1.907772,2.040728,2.566225,2.185326,2.286229,0.048981,-0.260017
150134919,1.918887,1.965496,2.537892,2.228000,1.907905,0.266117,-0.212792
150148773,1.922358,1.941847,2.511019,2.230692,1.782539,0.107622,-0.210359
150161565,1.925265,1.928756,2.488785,2.230019,1.725393,-0.025513,-0.209694
150176073,1.929339,1.914653,2.463260,2.232038,1.642218,-0.187589,-0.207364
150189100,1.932453,1.901855,2.440498,2.239787,1.517678,-0.342494,-0.203309
150201000,1.935371,1.891064,2.413710,2.239787,1.436043,-0.438962,-0.194710
150214400,1.937159,1.880661,2.352865,2.224766,1.458230,-0.591600,-0.146307
150227850,1.940089,1.873848,2.289378,2.203922,1.555054,-0.732393,-0.085859
150241350,1.944781,1.868765,2.226109,2.195083,1.672383,-0.844800,-0.054079
150254124,1.952723,1.868765,2.179902,2.185326,1.758456,-0.874035,-0.044609
150341374,1.990404,1.881230,2.033351,2.131539,1.231949,-0.679148,-0.125823
150355098,2.002339,1.897268,2.012578,2.105218,0.934363,-0.670051,-0.150386
150428020,2.130251,2.137340,1.938331,2.002944,0.418898,-2.477550,-0.257173
150441687,2.178730,2.237758,1.933036,1.992207,0.393448,-3.033658,-0.306643
150455597,2.225437,2.327508,1.931870,1.979446,0.143312,-2.785765,-0.352603
150470347,2.265904,2.408612,1.933620,1.964783,-0.546774,-2.431676,-0.426011
150484938,2.305288,2.466982,1.950362,1.974424,-0.653999,-2.240614,-0.539137
150598445,2.359981,2.626746,2.128320,1.960404,0.975951,-1.143384,-0.433828
150611992,2.340834,2.631825,2.171544,1.964901,1.224670,-1.311929,-0.339220
