Time,Tx,Ty,Tz,Roll,Pitch,Yaw,S0_L0,S0_L1,S0_L2,S0_L3
1779277415.1835117,5.0,0.0,3.0,0,0,0,13.295531287065526,13.729525476798239,13.675052977906772,13.277579321444106
1779277415.1885102,5.0,0.0,3.0,0,0,0,13.295707741763882,13.729525476798239,13.675233601180306,13.277842646012365
1779277415.191517,5.0,0.0,3.0,0,0,0,13.29561868942098,13.729525476798239,13.675233601180306,13.277842646012365
1779277415.195515,5.0,0.0,3.0,0,0,0,13.29561868942098,13.729525476798239,13.675233601180306,13.277842646012365
1779277415.1987405,5.0,0.0,3.0,0,0,0,13.29561868942098,13.729525476798239,13.674961807518203,13.277842646012365
1779277415.2017379,5.0,0.0,3.0,0,0,0,13.29561868942098,13.729525476798239,13.674961807518203,13.277668192610141
1779277416.0571866,5.0,1.0,3.0,0,0,0,13.083050969615424,13.728627394940036,13.675582816323196,13.45463471280962
1779277416.0611806,5.0,1.0,3.0,0,0,0,13.083009117015933,13.72871737219449,13.675673992922205,13.455056097129539
1779277416.0651753,5.0,1.0,3.0,0,0,0,13.083268284418336,13.72871737219449,13.675673992922205,13.455056097129539
1779277416.068179,5.0,1.0,3.0,0,0,0,13.083268284418336,13.728627394940036,13.675673992922205,13.455056097129539
1779277416.0722256,5.0,1.0,3.0,0,0,0,13.083268284418336,13.728627394940036,13.675673992922205,13.455056097129539
1779277416.0763211,5.0,1.0,3.0,0,0,0,13.083268284418336,13.728627394940036,13.675673992922205,13.45498894292389
1779277417.0805535,5.0,2.0,3.0,0,0,0,12.837151319922208,13.727727671044171,13.67666667263426,13.585228465737565
1779277417.084554,5.0,2.0,3.0,0,0,0,12.837489269492261,13.727637703519196,13.67647569812369,13.58521313619686
1779277417.087555,5.0,2.0,3.0,0,0,0,12.837489269492261,13.727637703519196,13.67647569812369,13.58521313619686
1779277417.0895553,5.0,2.0,3.0,0,0,0,12.837235806063628,13.727637703519196,13.67647569812369,13.58521313619686
1779277417.0925515,5.0,2.0,3.0,0,0,0,12.837235806063628,13.727902418187227,13.67647569812369,13.58521313619686
1779277417.0965557,5.0,2.0,3.0,0,0,0,12.837235806063628,13.727902418187227,13.676577206599758,13.58521313619686
1779277418.09608,5.0,3.0,3.0,0,0,0,12.574621894262618,13.727184419058839,13.677378991226977,13.668056151424652
1779277418.1010847,5.0,3.0,3.0,0,0,0,12.57478722734583,13.72700276555773,13.6778194866077,13.667696911631213
1779277418.1050801,5.0,3.0,3.0,0,0,0,12.57478722734583,13.726912805158879,13.6778194866077,13.667696911631213
1779277418.1080842,5.0,3.0,3.0,0,0,0,12.57478722734583,13.726912805158879,13.677378991226977,13.667696911631213
1779277418.11208,5.0,3.0,3.0,0,0,0,12.57478722734583,13.726912805158879,13.677378991226977,13.667877389182927
1779277418.1160862,5.0,3.0,3.0,0,0,0,12.57478722734583,13.726912805158879,13.677378991226977,13.667877389182927
1779277419.1254284,5.0,4.0,3.0,0,0,0,12.316308254673814,13.726459556601794,13.678903608835364,13.711780914458101
1779277419.1294272,5.0,4.0,3.0,0,0,0,12.316308254673814,13.726369601542793,13.678722912846686,13.711962265889078
1779277419.1334312,5.0,4.0,3.0,0,0,0,12.316308254673814,13.726459556601794,13.678722912846686,13.711962265889078
1779277419.13643,5.0,4.0,3.0,0,0,0,12.316308254673814,13.726459556601794,13.678812399936417,13.711962265889078
1779277419.1394315,5.0,4.0,3.0,0,0,0,12.316308254673814,13.726459556601794,13.678812399936417,13.71205207935842
1779277419.141439,5.0,4.0,3.0,0,0,0,12.316308254673814,13.726459556601794,13.678812399936417,13.71205207935842
1779277420.1371863,5.0,5.0,3.0,0,0,0,12.087138345876681,13.726104931209187,13.680077359464697,13.730794016140194
1779277420.1411977,5.0,5.0,3.0,0,0,0,12.087377069130357,13.725923299135076,13.680156532834184,13.730529217830288
1779277420.1432142,5.0,5.0,3.0,0,0,0,12.087377069130357,13.725923299135076,13.680156532834184,13.730529217830288
1779277420.1462066,5.0,5.0,3.0,0,0,0,12.087377069130357,13.725923299135076,13.680156532834184,13.730529217830288
1779277420.1492074,5.0,5.0,3.0,0,0,0,12.087377069130357,13.725923299135076,13.68006703255413,13.730529217830288
1779277420.153208,5.0,5.0,3.0,0,0,0,12.087377069130357,13.725923299135076,13.68006703255413,13.730877091698325
1779277422.5193684,-5.0,-5.0,4.0,0,0,0,13.72096527141186,13.703237296429494,10.898015745914346,13.711328415147483
1779277422.5244896,-5.0,-5.0,4.0,0,0,0,13.720693842073487,13.703237296429494,10.897866444783771,13.711245516938174
1779277422.5276606,-5.0,-5.0,4.0,0,0,0,13.720693842073487,13.702975020338185,10.897866444783771,13.711245516938174
1779277422.5314934,-5.0,-5.0,4.0,0,0,0,13.720693842073487,13.702975020338185,10.897723265434042,13.711245516938174
1779277422.534495,-5.0,-5.0,4.0,0,0,0,13.720693842073487,13.702975020338185,10.897723265434042,13.711245516938174
1779277422.53849,-5.0,-5.0,4.0,0,0,0,13.72096527141186,13.702975020338185,10.897723265434042,13.711245516938174
1779277423.4648316,-4.0,-5.0,4.0,0,0,0,13.717993818107892,13.704857708448712,11.293632833451523,13.688054947513493
